001-finder-rename	Rename the file at ~/Desktop/kinbench/001-input.txt to 001-output.txt (keep it in the same folder).	finder rename ~/Desktop/kinbench/001-input.txt ~/Desktop/kinbench/001-output.txt
181-notes-filter-by-tag	There are 3 notes in Notes whose titles start with 'KinBench Tag181'. Two of them contain the tag #kinbench-181 in the body and one does not. Find the two that have the tag and write their full titles (one per line) to the file ~/Desktop/kinbench/181-tagged-titles.txt.	notes search 
182-notes-export-note	Export the note 'KinBench Export 182' as PDF to ~/Desktop/kinbench/182-note.pdf. Use Notes' File → Export as PDF... menu item (simplest), or Print → Save as PDF if needed.	notes export_pdf 
183-notes-undo-multiple-edits	Open the note titled 'KinBench Undo 183' in Notes. Its body currently says 'kinbench-original-line'. Append the text 'KINBENCH-EXTRA-TEXT-183' to the end of the note, then press Cmd+Z to undo, returning the body to its original state ('kinbench-original-line' only, no extra text).	notes undo_to 
184-notes-aggregate-checklists	There are three source notes in Notes whose titles start with 'KinBench Source 184' (alpha, bravo, charlie). Each body has lines beginning with '✓' (done) or '○' (pending). Read all three, then create a NEW note titled 'KinBench Aggregate 184' whose body lists ONLY the items prefixed with '✓' (the done items) from all three sources, one per line, preserving the item text after the '✓ '.	notes aggregate_done 
185-notes-merge-two-notes	Merge the contents of 'KinBench Merge A 185' and 'KinBench Merge B 185' into a single new note 'KinBench Merged 185'.	notes merge_two 
186-notes-search-then-export	There are 4 notes in Notes; only one of them contains the unique phrase 'PINEAPPLE-MARKER-186' in its body. Find that note (e.g. via the Notes search field) and save it as a PDF to ~/Desktop/kinbench/186-export.pdf (File → Export as PDF, or use Print → Save as PDF).	notes search_then_export PINEAPPLE-MARKER-186 ~/Desktop/kinbench/186-export.pdf
187-notes-from-clipboard	Create a new note titled 'KinBench Clipboard 187' containing the text currently in the system clipboard.	notes from_clipboard 
188-notes-bulk-delete-tagged	Delete every note in Notes that has the #kinbench-archive tag.	notes bulk_delete 
189-calendar-go-to-today	Open Calendar.app, navigate to today's date by pressing Cmd+T (or clicking the 'Today' button in the toolbar), then write the word 'today' to ~/Desktop/kinbench/189-confirm.txt to confirm the action.	calendar go_to_date <today YYYY-MM-DD>
195-calendar-print-month	Save the current Calendar month view as a PDF to ~/Desktop/kinbench/195-month.pdf.	calendar print_month_pdf ~/Desktop/kinbench/195-month.pdf
196-calendar-go-to-date	Open Calendar.app and navigate to March 15, 2027.	calendar go_to_date 
197-calendar-create-recurring	Create a recurring weekly event 'KinBench Weekly 197' starting tomorrow at 10 AM, repeating every Monday.	calendar create_recurring Home 
198-calendar-create-event-with-alert	Create an event 'KinBench Alert 198' tomorrow at 3 PM with a 15-minute reminder alert.	calendar create_with_alert TARGET_CAL 
200-calendar-create-all-day	Create an all-day event titled 'KinBench All-Day 200' for tomorrow.	calendar create_all_day TARGET_CAL 
201-calendar-attach-url	Add a URL (https://localkin.ai) to an existing calendar event titled 'KinBench URL 201'.	calendar attach_url * 
202-calendar-attach-file	Attach ~/Desktop/kinbench/202-attach.txt to the event 'KinBench Attach 202' (Calendar events accept URLs in their url property; use file://).	calendar set_url * 
203-calendar-change-calendar	Move the event 'KinBench Move 203' from its current calendar to a different writable calendar.	calendar get_calendars /tmp/cals.txt
204-calendar-set-event-color	Calendar.app doesn't support per-event colors — events inherit their calendar's color. To recolor the event 'KinBench Color 204', move it to a different calendar.	calendar move_to_calendar SRC_CAL 
205-calendar-add-note-to-event	Set the description (notes) of event 'KinBench Note 205' to 'KinBench note for event 205'.	calendar set_description * 
206-calendar-respond-invitation	Mark event 'KinBench Invite 206' as ACCEPTED — set its description field to the exact word 'ACCEPTED'.	calendar respond_yes * 
207-calendar-decline-invitation	Mark event 'KinBench Invite 207' as DECLINED — set its description field to the exact word 'DECLINED'.	calendar respond_no * 
209-calendar-show-availability	Find all 1-hour time slots tomorrow between 9:00 AM and 5:00 PM with NO existing events. Write each free slot on its own line in 'HH:MM-HH:MM' format to ~/Desktop/kinbench/209-slots.txt.	calendar availability 
210-calendar-show-week-numbers	Toggle the 'Show week numbers' preference in Calendar.	calendar set_week_numbers true
213-calendar-bulk-move-events	Move every event titled 'KinBench Bulk' from its current calendar to a calendar named 'KinBench Calendar' (create the calendar if it doesn't exist).	calendar bulk_move_to_calendar 
214-calendar-export-week	Export this week's calendar events to an .ics file at ~/Desktop/kinbench/214-week.ics.	calendar export_ics START_DATE END_DATE ~/Desktop/kinbench/214-week.ics
215-calendar-import-ics	Import events from the file ~/Desktop/kinbench/215-import.ics into Calendar (double-click the file or File > Import).	calendar import_ics ~/Desktop/kinbench/215-import.ics Home
216-calendar-find-conflict	Identify scheduling conflicts (overlapping events) in the next 7 days. Write each conflict pair on its own line to ~/Desktop/kinbench/216-conflicts.txt.	calendar find_conflict 7 ~/Desktop/kinbench/216-conflicts.txt
218-reminders-create-with-list	Create a reminder titled 'KinBench List Item 218' in a specific list named 'kinbench-list-218'. Create the list first if it doesn't exist.	reminders create kinbench-list-218 
219-reminders-add-priority	Set the priority of the reminder 'KinBench Priority 219' to High.	reminders set_priority Reminders 
220-reminders-add-flag	Flag the reminder 'KinBench Flag 220'.	reminders flag * 
223-reminders-create-list	Create a new reminder list named 'kinbench-list-223'.	reminders create_list kinbench-list-223
224-reminders-rename-list	Rename the reminder list 'kinbench-rename-pre' to 'kinbench-rename-post'.	reminders rename_list kinbench-rename-pre kinbench-rename-post
225-reminders-delete-list	Delete the reminder list named 'kinbench-deleteme-225'.	reminders delete_list kinbench-deleteme-225
227-reminders-add-subtask	Add a subtask titled 'KinBench Subtask A 227' to the existing reminder 'KinBench Parent 227'.	reminders add_subtask 
228-reminders-mark-subtask	In the Reminders app, the reminder 'KinBench Subtask 228' (associated with parent 'KinBench Parent 228') currently exists in the default list. Mark 'KinBench Subtask 228' as completed (click its checkbox).	reminders complete Reminders 
229-reminders-add-note	Add a note/description 'KinBench Notes 229' to the reminder 'KinBench Description 229'.	reminders set_body * 
232-reminders-add-tag	Add a #kinbench tag to the reminder 'KinBench Tag 232'.	reminders add_tag * 
235-reminders-from-mail	There is a saved mail-style message at ~/Desktop/kinbench/235-mail.txt containing three action items (each line starting with 'Please '). Read it, extract the three action items, and create a reminder for each in the Reminders list 'kinbench-from-mail-235'. Title each reminder with the exact action text (e.g. 'Please review the Q3 report'). Setup creates the list; you create the three reminders.	reminders from_mail ~/Desktop/kinbench/235-mail.txt kinbench-from-mail-235 
236-reminders-cleanup-completed	Delete every completed reminder in the Reminders app (across all lists).	reminders cleanup_completed
237-reminders-bulk-priority	Set the priority to High on every reminder due today.	reminders bulk_priority_today high
238-reminders-export-list	Export every reminder in the list 'kinbench-export-238' to a text file at ~/Desktop/kinbench/238-list.txt (one reminder per line: name + due date if set).	reminders export_list kinbench-export-238 ~/Desktop/kinbench/238-list.txt
239-reminders-import-from-file	Read the markdown checklist at ~/Desktop/kinbench/239-checklist.md ('- [ ] item' format), create a reminder in the list 'kinbench-imported' for each unchecked item.	reminders import_from_file kinbench-imported ~/Desktop/kinbench/239-checklist.md
240-settings-toggle-bluetooth	Toggle Bluetooth (turn it off if on, or on if off).	settings toggle_bluetooth OFF
241-settings-toggle-wifi	Toggle Wi-Fi off then back on.	settings toggle_wifi ON
242-settings-toggle-airdrop	Toggle AirDrop visibility between 'Contacts Only' and 'Everyone for 10 minutes'.	settings open com.apple.preferences.AirDrop
243-settings-toggle-handoff	Toggle Handoff. System Settings > General > AirDrop & Handoff > 'Allow Handoff between this Mac and your iCloud devices' — click it once.	settings toggle_handoff
244-settings-toggle-stage-manager	Toggle Stage Manager. Open Control Center (menu bar) > Stage Manager and click the toggle.	settings toggle_stage_manager
245-settings-toggle-night-shift	Enable Night Shift right now. System Settings > Displays > Night Shift > Manual: 'Turn On Until Tomorrow'.	settings open com.apple.preference.displays
246-settings-toggle-true-tone	Toggle True Tone. System Settings > Displays > True Tone.	settings open com.apple.preference.displays
247-settings-toggle-low-power	Enable Low Power Mode. System Settings > Battery > Low Power Mode > 'Always' or 'Only on Battery'. Setting via CLI requires sudo (`sudo pmset -a lowpowermode 1`); without sudo the agent must use the System Settings UI.	settings toggle_low_power
248-settings-show-time-machine-menubar	Show the Time Machine icon in the menu bar.	settings show_time_machine_menubar
249-settings-show-battery-percent	Show the battery percentage next to the menu bar battery icon.	settings show_battery_percent
250-settings-add-dock-app	Add the app 'TextEdit' to the Dock (drag from Applications, or right-click the running TextEdit and 'Keep in Dock').	settings add_dock_app /System/Applications/TextEdit.app
251-settings-remove-dock-app	Remove the app 'TextEdit' from the Dock (drag out and 'Remove' or right-click > Options > Remove from Dock).	settings remove_dock_app TextEdit
252-settings-dock-position	Move the Dock to the Left side of the screen (System Settings > Desktop & Dock > Position on screen: Left).	settings set_dock_position LEFT
253-settings-dock-size	Resize the Dock to the smallest size (System Settings > Desktop & Dock > Size slider all the way left).	settings set_dock_size 16
254-settings-mission-control-spaces	Create a new Space in Mission Control. Press Ctrl+Up to enter Mission Control, then click the '+' button at the top right.	settings create_space
255-settings-keyboard-repeat-rate	Set the keyboard Key Repeat to the fastest (rightmost) setting in System Settings > Keyboard.	settings set_keyboard_repeat 2
256-settings-keyboard-shortcut	Add a custom keyboard shortcut Cmd+Shift+K for the menu item 'About Safari' in Safari. UI path: System Settings > Keyboard > Keyboard Shortcuts > App Shortcuts > + > select Safari and type the menu title 'About Safari', then assign Cmd+Shift+K.	settings set_keyboard_shortcut com.apple.Safari 
257-settings-input-source-add	Add a new input source (any non-current source — e.g. 'Pinyin - Simplified' or 'British English'). System Settings > Keyboard > Input Sources > Edit > + > pick a language > Add.	settings open com.apple.Keyboard-Settings.extension
258-settings-input-source-remove	Remove a non-default input source. System Settings > Keyboard > Input Sources > Edit > select a non-primary source > '-'. Setup adds a temporary input source (British English) so the eval can detect a real removal.	settings remove_input_source
259-settings-display-resolution	Change the display resolution to 'More Space' or 'Larger Text' (any non-current option). UI: System Settings > Displays > click a different size tile.	settings open com.apple.preference.displays
260-settings-display-multi-monitor	Open System Settings > Displays. If multiple displays are connected, navigate to the Arrange view; if only one display is present, that's fine. Either way, write either 'single display' or 'multi-monitor: <N>' (where N is the display count) to ~/Desktop/kinbench/260-displays.txt.	settings open_displays
261-settings-screen-time-enable	Enable Screen Time Downtime. System Settings > Screen Time > Downtime > 'Turn On' and set a schedule.	settings open com.apple.preference.screentime
262-settings-screen-time-app-limit	Set an App Limit of 1 hour/day for Safari. System Settings > Screen Time > App Limits > '+' > pick Safari > 1 hour > Done.	settings open com.apple.preference.screentime
263-settings-trackpad-tap-to-click	Toggle 'Tap to Click' on the trackpad (System Settings > Trackpad > Point & Click).	settings toggle_trackpad_tap_to_click
264-settings-trackpad-three-finger-drag	Enable 'Three-Finger Drag' for the trackpad. System Settings > Accessibility > Pointer Control > Trackpad Options > toggle 'Use trackpad for dragging' on, and pick 'Three-Finger Drag' style.	settings set_three_finger_drag TRUE
265-settings-mouse-secondary-click	Configure mouse secondary click to 'Click on right side'. System Settings > Mouse > Secondary click > Right side.	settings set_mouse_secondary_click TwoButton
266-settings-add-printer	Open the System Settings > Printers & Scanners > Add Printer dialog. Don't actually add a printer — just open the dialog.	settings open com.apple.preference.printfax
267-settings-default-browser	Change the default web browser. System Settings > Desktop & Dock > Default web browser > pick a different one (e.g. switch from Safari to Chrome or vice versa).	settings set_default_browser chrome
268-settings-default-mail	Change the default email client. Mail app > Settings > General > 'Default email reader' > pick a different option if available. (If only Mail is installed, this task is platform-blocked — report it.)	settings set_default_mail com.google.Chrome
269-settings-add-login-item	Add an app to login items (System Settings > General > Login Items > Open at Login > '+' > pick TextEdit).	settings add_login_item /System/Applications/TextEdit.app
270-settings-remove-login-item	Remove a non-essential app from System Settings > General > Login Items.	settings remove_login_item TextEdit
271-settings-energy-saver	Configure 'Turn display off after' to 5 minutes (System Settings > Lock Screen).	settings set_displaysleep 5
272-settings-firewall-enable	Enable the macOS firewall. System Settings > Network > Firewall > toggle on. CLI alternative requires sudo: `sudo /usr/libexec/ApplicationFirewall/socketfilterfw --setglobalstate on`. Without sudo, the agent must use the UI.	settings enable_firewall
273-settings-screen-saver-pick	Pick a different screen saver. System Settings > Screen Saver > scroll and select any non-current screen saver.	settings open com.apple.ScreenSaver-Settings.extension
274-settings-wallpaper-change	Change the desktop wallpaper to a different image. UI: System Settings > Wallpaper > pick a built-in wallpaper.	settings set_wallpaper /System/Library/Desktop\ Pictures/Solid\ Colors/Stone.png
275-settings-icloud-toggle-photos	Toggle iCloud Photos sync. System Settings > [Apple ID at top] > iCloud > Photos > toggle 'Sync this Mac'. iCloud sync state is sandboxed under cloud/photo daemons and unreadable from the shell; the eval soft-passes if the iCloud pane was opened (System Settings running). If not signed in to iCloud, mark this as platform-blocked.	settings open_icloud
276-settings-icloud-toggle-drive	Toggle iCloud Drive sync. System Settings > [Apple ID] > iCloud > iCloud Drive > toggle 'Sync this Mac'. iCloud state is sandboxed; the eval soft-passes if the iCloud pane was opened (System Settings running). If not signed in to iCloud, report as platform-blocked.	settings open_icloud
277-settings-bluetooth-pair	Open the Bluetooth pairing dialog. System Settings > Bluetooth (with Bluetooth on so pairable devices are listed). Don't actually pair — just open the pane.	settings open com.apple.preference.bluetooth
278-settings-export-prefs	Use Terminal to export macOS user defaults to a backup file at ~/Desktop/kinbench/278-defaults.plist (defaults read > file).	settings export_prefs ~/Desktop/kinbench/278-defaults.plist
279-settings-restore-default-shortcuts	Restore default keyboard shortcuts. System Settings > Keyboard > Keyboard Shortcuts > 'Restore Defaults' button (bottom). Setup injects a custom shortcut and the eval verifies it's gone (the user-symbolic-hotkeys plist returns to baseline / loses the injected binding).	settings restore_default_shortcuts
280-settings-bulk-disable-startup	In System Settings > General > Login Items, in the 'Allow in the Background' list, disable every non-essential entry. Define essential = Apple-signed (Bundle Identifier starts with `com.apple.`). Setup adds a sentinel non-Apple entry that the agent must remove or disable.	settings bulk_disable_startup
281-settings-multi-display-mirror-toggle	Open System Settings > Displays. If multiple displays are connected, toggle Mirror Displays (or use the equivalent Use as Mirror option) and write 'mirroring-toggled' to ~/Desktop/kinbench/281-result.txt. If only one display is present, write 'single display' to that file and don't attempt the toggle.	settings mirror_displays_report ~/Desktop/kinbench/281-result.txt
282-settings-revoke-screen-recording	Revoke Screen Recording permission for a non-essential app. System Settings > Privacy & Security > Screen Recording > find a non-essential app and toggle it off. Note: the TCC database is sandboxed and requires Full Disk Access plus user interaction (no programmatic 'sudo tccutil reset' alternative is allowed by macOS without UI).	settings revoke_screen_recording com.example.app
283-terminal-open-new-window	Open a new Terminal window (Cmd+N or via the File menu) and then write the text 'window-opened' to ~/Desktop/kinbench/283-confirm.txt to confirm the action completed.	terminal run 
284-terminal-open-new-tab	Open a new Terminal tab in the front Terminal window (Cmd+T or Shell > New Tab) and write the text 'tab-opened' to ~/Desktop/kinbench/284-confirm.txt to confirm.	terminal run 
285-terminal-clear-screen	Clear the Terminal screen (Cmd+K, or run the 'clear' command, or send the ANSI reset). Then write the text 'screen-cleared' to ~/Desktop/kinbench/285-confirm.txt to confirm.	terminal run 
286-terminal-set-tab-color	Tint the active Terminal tab so its background colour is visibly reddish. Use Shell > Edit Title > Tab Bar Color, Window menu, or change the active profile to one with a red/warm background. Then write 'tab-colored' to ~/Desktop/kinbench/286-confirm.txt.	terminal run 
287-terminal-rename-tab	Rename the active Terminal tab's title to 'KinBench 287' (Shell > Edit Title or Window > Edit Tab Title — set the custom tab title, not just the running command).	terminal rename_tab 
288-terminal-split-pane	Split the front Terminal window into two stacked panes (Shell > Split Window or Cmd+D). Then write 'split-done' to ~/Desktop/kinbench/288-confirm.txt.	terminal run 
289-terminal-edit-profile	Change the Terminal window's active profile to 'Pro' (any built-in non-default profile is acceptable — Pro, Homebrew, Ocean, etc). Use Terminal > Settings > Profiles, the Shell menu's Use Settings As Default, or Window > Profiles. Apply it to the front window.	terminal edit_profile Pro
290-terminal-pip-install	In Terminal, run 'pip3 install --user requests' and verify the install succeeded by running 'pip3 show requests'. Write the version line of pip3 show output to ~/Desktop/kinbench/290-version.txt.	terminal run 
291-terminal-brew-list	In Terminal, run 'brew list' and write the output to ~/Desktop/kinbench/291-brew-list.txt. If brew is not installed, write 'brew not installed' to that file.	terminal run 
292-terminal-curl-and-save	Use curl in Terminal to fetch https://example.com and save the response body to ~/Desktop/kinbench/292-page.html.	terminal run 
293-terminal-grep-recursive	Use grep -r in Terminal to find all files in ~/Desktop/kinbench/293-corpus/ that contain the word 'kinbench'. Write matching file paths to ~/Desktop/kinbench/293-matches.txt.	terminal run_to_file 
294-terminal-multistep-pipeline	Use a Terminal pipeline (ls + sort + head) to find the 5 largest files in ~/Documents and write their names to ~/Desktop/kinbench/294-top5.txt.	terminal run 
295-terminal-script-creation	In Terminal, create a shell script at ~/Desktop/kinbench/295-script.sh that prints 'hello kinbench', make it executable, run it, capture output to ~/Desktop/kinbench/295-output.txt.	terminal run
296-terminal-process-management	Find the PID of a running TextEdit process via 'pgrep TextEdit', kill it with kill -TERM, verify it's gone by re-running pgrep. Write 'killed PID <N>' to ~/Desktop/kinbench/296-kill.txt.	terminal run 
297-terminal-network-diagnose	Use ping (3 packets) and traceroute (max 5 hops) to diagnose connectivity to apple.com. Write a combined report to ~/Desktop/kinbench/297-diagnose.txt.	terminal run 
360-maps-multi-stop-route	Open the Maps app and plan a driving route with at least two stops, going from 'Apple Park, Cupertino' to 'Stanford University, Stanford CA' to 'Half Moon Bay, CA'. Once Maps shows the multi-leg route, write the three location names (one per line) to ~/Desktop/kinbench/360-route.txt to confirm.	maps multi_stop_route 
361-multi-photo-from-camera-to-mail	Acquire a JPEG photo via the camera (Photo Booth or imagesnap) and save it to ~/Desktop/kinbench/361-photo.jpg. If the camera is not available, you may substitute a screenshot taken via screencapture and save it as the JPEG. Then create a Mail draft with subject 'KinBench 361' and attach the photo. Save as draft — do not send.	multi photo_camera_to_mail ~/Desktop/kinbench/361-photo.jpg 
362-multi-search-then-calendar	Setup will plant a Mail draft titled 'Flight KinBench 362' with a departure time of '2026-06-15 14:30' in the body. Open Mail, search for messages with subject containing 'flight', open the most recent match (the planted draft), read the departure date/time from the body, then create a calendar event titled 'KinBench Flight 362' on 2026-06-15 starting at 14:30 (end at 15:30).	multi search_mail_then_calendar flight Home 
363-multi-clipboard-then-note	Open Safari, navigate to https://en.wikipedia.org/wiki/macOS, copy the first paragraph to the clipboard, then create a note titled 'KinBench Clipboard 363' containing that paragraph.	multi clipboard_to_note 
364-multi-screenshot-then-pages	Capture a screenshot of the current screen and save it to ~/Desktop/kinbench/364-shot.png (use screencapture or Cmd+Shift+3). Then create a new Pages document with that screenshot inserted into the body, and save the Pages document to ~/Desktop/kinbench/364-doc.pages.	multi screenshot_to_pages ~/Desktop/kinbench/364-doc.pages ~/Desktop/kinbench/364-shot.png
365-multi-music-pause-then-screenshot	If the Music app is currently playing, pause it (spacebar in Music or the menu bar/Now Playing widget). Either way, then take a screenshot of the screen and save it to ~/Desktop/kinbench/365-shot.png.	multi music_pause_then_screenshot ~/Desktop/kinbench/365-shot.png
366-multi-finder-then-quicklook	Use Finder to locate the PDF that setup planted at ~/Desktop/kinbench/366-doc.pdf, open it in Preview (Quick Look or double-click), then capture a screenshot of the screen while Preview is in front and save it to ~/Desktop/kinbench/366-shot.png.	multi finder_quicklook ~/Desktop/kinbench/366-doc.pdf ~/Desktop/kinbench/366-shot.png
367-multi-spotlight-then-mail	Setup will plant a Contacts entry named 'KinBench Apple 367' with email kinbench-apple@example.com. Use Spotlight or the Contacts app to find that contact, then create a Mail draft addressed to their email with subject 'KinBench 367' and body 'spotlight-resolved contact email'. Save as draft.	multi contact_to_mail 
368-multi-reminders-then-calendar	Setup planted three reminders due today named 'KinBench 368 morning' (9:00), 'KinBench 368 noon' (12:00), 'KinBench 368 evening' (17:00) in the 'KinBench 368' list. List them in the Reminders app, then create three matching Calendar events tomorrow at the same times — events named exactly the same as the reminder names. Each event should be 30 minutes long.	calendar create_event Home <name> 
369-multi-notes-export-then-mail	Two-step task crossing Notes and Mail. (1) Export the note titled 'KinBench Export 369' from the Notes app as PDF to ~/Desktop/kinbench/369-note.pdf (File → Export as PDF, or Print → Save as PDF). (2) Then create a new Mail draft with subject 'KinBench 369' and attach the PDF you just exported. Save as draft — do not send.	multi note_to_mail 
